Readable_Term,Label,Frequency
rainstones,ROCHA,1
crinkly,ESTRUTURA_FISICA,1
cleavage,ESTRUTURA_FISICA,1
bve300,POÇO,1
bve200,POÇO,1
arremian,UNIDADE_CRONO,1
basinsantos,BACIA,1
campodebúzios,CAMPO,1
gneisses,ROCHA,1
cenozoic,UNIDADE_CRONO,1
2seq5,POÇO,1
2seq1,POÇO,1
iracema,CAMPO,1
baciadepelotas,BACIA,1
metamórficos,ROCHA,1
baciade,BACIA,1
baciasdecampos,BACIA,1
cisalhamento,ESTRUTURA_FISICA,1
zona,ESTRUTURA_FISICA,1
oceânica,PALEOAMBIENTE,1
formaçõescamboriú,UNIDADE_LITO,1
neocomiano,UNIDADE_CRONO,1
barremiano,UNIDADE_CRONO,1
neobarremiano,UNIDADE_CRONO,1
lamitos,ROCHA,1
transicional,PALEOAMBIENTE,1
marinhoraso,PALEOAMBIENTE,1
calcários,ROCHA,1
formaçõesitapema,UNIDADE_LITO,1
formaçõespiçarras,UNIDADE_LITO,1
lacustre,PALEOAMBIENTE,1
foraminíferosmiliolídeos,FOSSEIS,1
gipsita,MINERAIS,1
neoaptiano,UNIDADE_CRONO,1
taquidrita,ROCHA,1
margas,ROCHA,1
cenomaniano,UNIDADE_CRONO,1
fmitapema,UNIDADE_LITO,1
depositos,ROCHA,1
raso,PALEOAMBIENTE,1
argilamagnesiana,NAO_CONSOLID,1
argilominerais,MINERAIS,1
sublitorâneo,PALEOAMBIENTE,1
magnesianas,ROCHA,1
rochascarbonáticas,ROCHA,1
aptianosuperior,UNIDADE_CRONO,1
santosnamibe,BACIA,1
cenozoicos,UNIDADE_CRONO,1
ooliths,FOSSEIS,1
oncoid,FOSSEIS,1
calcirudite,MINERAIS,1
toca,UNIDADE_LITO,1
açúcar,CAMPO,1
carboniferous,UNIDADE_CRONO,1
