Entidade,Rótulo,Contagem,Score Médio
calcilutite,ROCHA,1,"0,4981"
slip,ESTRUTURA_FISICA,1,"0,5388"
8BUZ,POÇO,1,"0,6087"
sylvite,MINERAIS,1,"0,9343"
Neogene,UNIDADE_CRONO,1,"0,9970"
siliciclastic,ROCHA,1,"0,4834"
Eo,UNIDADE_CRONO,1,"0,6395"
material,NAO_CONSOLID,1,"0,4747"
cretaceous,UNIDADE_CRONO,1,"0,8371"
Cretaceus,UNIDADE_CRONO,1,"0,9941"
Berriasian,UNIDADE_CRONO,1,"0,9740"
oceanic,PALEOAMBIENTE,1,"0,7220"
neoproterozoic,UNIDADE_CRONO,1,"0,9968"
brittle,ESTRUTURA_FISICA,1,"0,5757"
Tertiary,UNIDADE_CRONO,1,"0,8864"
volcaniclastics,ROCHA,1,"0,6214"
BVE100,POÇO,1,"0,5509"
collapse,ESTRUTURA_FISICA,1,"0,8882"
volcanic,ROCHA,1,"0,5242"
Ridge,PALEOAMBIENTE,1,"0,6224"
discordance,ESTRUTURA_FISICA,1,"0,9956"
failures,ESTRUTURA_FISICA,1,"0,8557"
Eoproterozoic,UNIDADE_CRONO,1,"0,9825"
SantosEspıritoSanto,BACIA,1,"0,8212"
playalake,PALEOAMBIENTE,1,"0,6216"
Barite,MINERAIS,1,"0,9551"
peloid,NAO_CONSOLID,1,"0,7427"
Celestine,MINERAIS,1,"0,5513"
silcretes,ROCHA,1,"0,6160"
Travertines,ROCHA,1,"0,9910"
PãodeAçúcar,CAMPO,1,"0,7903"
Cenomanian,UNIDADE_CRONO,1,"0,5078"
Maastrichtian,UNIDADE_CRONO,1,"0,7862"
Danian,UNIDADE_CRONO,1,"0,5478"
framestone,ROCHA,1,"0,9233"
bindstone,ROCHA,1,"0,8700"
sparstone,ROCHA,1,"0,8773"
tufa,ROCHA,1,"0,8458"
KwanzaCongo,BACIA,1,"0,6331"
Gabon,BACIA,1,"0,8971"
PelotasBasins,BACIA,1,"0,9261"
packstonesgrainstones,ROCHA,1,"0,7946"
wackestonespackstones,ROCHA,1,"0,8840"
CamposBas,BACIA,1,"0,7574"
KwanzaBasin,BACIA,1,"0,7253"
Aratu,UNIDADE_CRONO,1,"0,6544"
calcilutites,ROCHA,1,"0,7554"
Candonacentroimpressa,FOSSEIS,1,"0,8329"
Cyprideis,FOSSEIS,1,"0,9523"
BRSA1159,POÇO,1,"0,6634"
tufas,ROCHA,1,"0,6918"
flint,ROCHA,1,"0,8847"
chalks,ROCHA,1,"0,4380"
smectites,ROCHA,1,"0,6539"
Jiqui,UNIDADE_CRONO,1,"0,5645"
travertinecarbonates,ROCHA,1,"0,7309"
Esp,BACIA,1,"0,5831"
water,FLUIDODATERRA,1,"0,6725"
EspiritoSanto,BACIA,1,"0,9967"
ParanaCampos,BACIA,1,"0,9591"
pluvial,PALEOAMBIENTE,1,"0,6892"
Magnesite,ROCHA,1,"0,5402"
Sphalerite,ROCHA,1,"0,6586"
Laminites,ROCHA,1,"0,4922"
Silurian,UNIDADE_CRONO,1,"0,9702"
moldic,ESTRUTURA_FISICA,1,"0,4473"
waters,FLUIDODATERRA,1,"0,7706"
Devonian,UNIDADE_CRONO,1,"0,9915"
Ordovician,UNIDADE_CRONO,1,"0,9784"
Permian,UNIDADE_CRONO,1,"0,9489"
SantonianCampanian,UNIDADE_CRONO,1,"0,8959"
bitumen,MINERAIS,1,"0,5159"
breccia,MINERAIS,1,"0,6405"
contact,ESTRUTURA_FISICA,1,"0,6524"
conglomerate,ROCHA,1,"0,5528"
proterozoic,UNIDADE_CRONO,1,"0,9092"
Camboriú,UNIDADE_LITO,1,"0,4766"
mica,MINERAIS,1,"0,6467"
fissure,ESTRUTURA_FISICA,1,"0,9525"
ridges,ESTRUTURA_FISICA,1,"0,4301"
fissureridge,ESTRUTURA_FISICA,1,"0,7488"
AptianBarraVelha,UNIDADE_CRONO,1,"0,7643"
PreAlagoas,UNIDADE_CRONO,1,"0,7780"
truncations,ESTRUTURA_FISICA,1,"0,6738"
Spherulstone,ROCHA,1,"0,5065"
spherulstone,ROCHA,1,"0,6477"
CamposSantos,BACIA,1,"0,9949"
AptianAlagoas,UNIDADE_CRONO,1,"0,8536"
Tithonian,UNIDADE_CRONO,1,"0,9936"
